from,to,const,
% Electric generation (million$/GW),,,
EC,E,1788,
ED,E,2673,
EG,E,827,
ET,E,551,
EN,E,3156,
% EH,E,4594,
EW,E,1568,
EY,E,2877,
EO,E,1655,
EP,E,3311,
EV,E,6865,
EU,E,4547,
% E1,E,2679,
E3,E,18286,
E2,E,6163,
E1,EL01,5426.167401,
E1,EL02,4514.472362,
E1,EL03,7747.659574,
E1,EL04,5601.56682,
E1,EL05,5352.181425,
E1,EL06,7558.14433,
E1,EL07,5281.016949,
E1,EL08,6203.554377,
E1,EL09,5547.272727,
E1,EL10,4238.181818,
E1,EL11,3149.20354,
E1,EL12,3714.545455,
E1,EL13,4020,
E4,EL,3178,% Coal w/ CCS
E5,EL,3622,% IGCC w/ CCS
E6,EL,1633,% NGCC w/ CCS
% Vehicles (million $ / vechicle),,,
gg,,1.89E-02,
cc,,2.43E-02,
kk,,1.28E-01,
% Diesel trains (million $ / vehicle),,,
tt,,1.79E+00,
% Electric trains (million $ / vehicle),,,
ee,,4.93E+01,
% Flights (million $ / vehicle),,,
ff,,1.65E+02,
% Electric trains infrastructure (million $ / mile),,,
pp,,21.04354,
ppALMS,,24.56927,
ppAROK,,24.56927,
ppVAWV,,28.09499,
% Biomass processing plants (million$/GW),,,
EM,E,2000,
EA,E,1850,
ES,E,3000,
ER,E,2000,
"% Bio-refinery (million$/Mgalon in one hour, 3.5M$/MGY) - Bio-oil to produce drop-in fuels by fast pyrolysis",,,
BR,BO,30350,
% Electric transmission (million$/GW),,,
EL11,EL05,2400,
EL11,EL13,1800,
EL13,EL12,1900,
EL12,EL05,2200,
EL11,EL12,2000,
EL12,EL10,1300,
EL02,EL10,1000,
EL10,EL05,1600,
EL10,EL04,1400,
EL04,EL05,1300,
EL10,EL09,1560,
EL04,EL09,1600,
EL04,EL01,850,
EL09,EL08,1000,
EL01,EL09,1000,
EL01,EL03,1700,
EL03,EL09,2100,
EL03,EL06,500,
EL06,EL07,800,
