from,to,const,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40,y41,y42,y43,y44,y45,y46,y47,y48,y49,y50,y51,y52,y53,y54,y55,y56,y57,y58,y59,y60,y61,y62,y63,y64,y65,y66,y67,y68,y69,y70,y71,y72,y73,y74,y75
EC01,EL01,0,318.78,318.78,318.78,318.78,318.78,318.78,318.78,318.78,318.78,309.21,299.65,290.09,280.52,270.96,261.4,251.83,242.27,232.71,223.14,213.58,204.02,194.45,184.89,175.33,165.76,156.2,146.64,137.07,127.51,117.95,108.38,98.82,89.26,79.69,70.13,60.57,51,41.44,31.88,22.31,16.7325,12.549375,9.41203125,7.059023438,5.294267578,3.970700684,2.978025513,2.233519135,1.675139351,1.256354513,0.942265885,0.706699414,0.53002456,0.39751842,0.298138815,0.223604111,0.167703084,0.125777313,0.094332984,0.070749738,0.053062304,0.039796728,0.029847546,0.022385659,0.016789245,0.012591933,0.00944395,0.007082963,0.005312222,0.003984166,0.002988125,0.002241094,0.00168082,0.001260615,0.000945461
EC02,EL02,0,342.46,342.46,342.46,342.46,342.46,342.46,342.46,342.46,342.46,332.19,321.91,311.64,301.37,291.09,280.82,270.54,260.27,250,239.72,229.45,219.18,208.9,198.63,188.35,178.08,167.81,157.53,147.26,136.98,126.71,116.44,106.16,95.89,85.62,75.34,65.07,54.79,44.52,34.25,23.97,17.9775,13.483125,10.11234375,7.584257813,5.688193359,4.26614502,3.199608765,2.399706573,1.79977993,1.349834948,1.012376211,0.759282158,0.569461619,0.427096214,0.32032216,0.24024162,0.180181215,0.135135911,0.101351934,0.07601395,0.057010463,0.042757847,0.032068385,0.024051289,0.018038467,0.01352885,0.010146638,0.007609978,0.005707484,0.004280613,0.00321046,0.002407845,0.001805883,0.001354413,0.001015809
EC03,EL03,0,55.55,55.55,55.55,55.55,55.55,55.55,55.55,55.55,55.55,53.88,52.21,50.55,48.88,47.22,45.55,43.88,42.22,40.55,38.88,37.22,35.55,33.88,32.22,30.55,28.88,27.22,25.55,23.89,22.22,20.55,18.89,17.22,15.55,13.89,12.22,10.55,8.89,7.22,5.55,3.89,2.9175,2.188125,1.64109375,1.230820313,0.923115234,0.692336426,0.519252319,0.38943924,0.29207943,0.219059572,0.164294679,0.123221009,0.092415757,0.069311818,0.051983863,0.038987897,0.029240923,0.021930692,0.016448019,0.012336014,0.009252011,0.006939008,0.005204256,0.003903192,0.002927394,0.002195546,0.001646659,0.001234994,0.000926246,0.000694684,0.000521013,0.00039076,0.00029307,0.000219802,0.000164852
EC04,EL04,0,147.91,147.91,147.91,147.91,147.91,147.91,147.91,147.91,147.91,143.47,139.04,134.6,130.16,125.72,121.29,116.85,112.41,107.97,103.54,99.1,94.66,90.23,85.79,81.35,76.91,72.48,68.04,63.6,59.16,54.73,50.29,45.85,41.41,36.98,32.54,28.1,23.67,19.23,14.79,10.35,7.7625,5.821875,4.36640625,3.274804688,2.456103516,1.842077637,1.381558228,1.036168671,0.777126503,0.582844877,0.437133658,0.327850243,0.245887683,0.184415762,0.138311821,0.103733866,0.0778004,0.0583503,0.043762725,0.032822044,0.024616533,0.0184624,0.0138468,0.0103851,0.007788825,0.005841619,0.004381214,0.00328591,0.002464433,0.001848325,0.001386243,0.001039683,0.000779762,0.000584821,0.000438616
EC05,EL05,0,188.76,188.76,188.76,188.76,188.76,188.76,188.76,188.76,188.76,183.1,177.43,171.77,166.11,160.45,154.78,149.12,143.46,137.8,132.13,126.47,120.81,115.14,109.48,103.82,98.16,92.49,86.83,81.17,75.5,69.84,64.18,58.52,52.85,47.19,41.53,35.86,30.2,24.54,18.88,13.21,9.9075,7.430625,5.57296875,4.179726563,3.134794922,2.351096191,1.763322144,1.322491608,0.991868706,0.743901529,0.557926147,0.41844461,0.313833458,0.235375093,0.17653132,0.13239849,0.099298867,0.074474151,0.055855613,0.04189171,0.031418782,0.023564087,0.017673065,0.013254799,0.009941099,0.007455824,0.005591868,0.004193901,0.003145426,0.002359069,0.001769302,0.001326977,0.000995232,0.000746424,0.000559818
EL,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EI,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2P,,20319.6347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3P,,4794.520548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5P,,24771.6895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
