from,to,mileage,fleet
AL,FL,591.5,tekfcg
AL,GA,182,tekfcg
AL,MS,207.5,tekfcg
AL,TN,216,tekfcg
AR,LA,532.5,tekfcg
AR,MO,560.5,tekfcg
AR,OK,333,tekfcg
AR,TN,418,tekfcg
AR,TX,473.5,tekfcg
AZ,CA,493,tekfcg
AZ,CO,580,efcg
AZ,FL,1815,efcg
AZ,GA,1596,efcg
AZ,IL,1768,efcg
AZ,MA,2559,efcg
AZ,MD,1979,efcg
AZ,MI,1627,efcg
AZ,MN,1245,efcg
AZ,NC,1824,efcg
AZ,NM,517.5,tekfcg
AZ,NV,592,tekfcg
AZ,NY,2094,efcg
AZ,OR,987,efcg
AZ,PA,1977,efcg
AZ,TX,868,efcg
AZ,UT,962,tekfcg
AZ,WA,1107,efcg
CA,CO,821,efcg
CA,FL,2222,efcg
CA,GA,1977,efcg
CA,IL,1704,efcg
CA,MA,2567,efcg
CA,MD,2311,efcg
CA,MI,1915,efcg
CA,MN,1487,efcg
CA,NC,2179,efcg
CA,NV,303,tekfcg
CA,NY,2404,efcg
CA,OR,862,tekfcg
CA,PA,2296,efcg
CA,TX,1287,efcg
CA,UT,521,efcg
CA,WA,849,efcg
CO,FL,1538,efcg
CO,GA,1232,efcg
CO,IL,890,efcg
CO,KS,529,tekfcg
CO,MA,1745,efcg
CO,MD,1496,efcg
CO,MI,1093,efcg
CO,MN,678,efcg
CO,NC,1391,efcg
CO,NE,447.5,tekfcg
CO,NM,489.5,tekfcg
CO,NV,601,efcg
CO,NY,1585,efcg
CO,OR,606,efcg
CO,PA,1481,efcg
CO,TX,738,efcg
CO,UT,627,tekfcg
CO,WA,1012,efcg
CO,WY,303,tekfcg
CT,MA,109.5,tekfcg
CT,NY,157.5,tekfcg
CT,RI,125.5,tekfcg
DE,MD,78.5,tekfcg
DE,NJ,102.5,tekfcg
DE,PA,123.5,tekfcg
FL,GA,441.5,tekfcg
FL,IL,969,efcg
FL,MA,1150,efcg
FL,MD,830,efcg
FL,MI,1046,efcg
FL,MN,1287,efcg
FL,NC,576,efcg
FL,NV,2011,efcg
FL,NY,1014,efcg
FL,OR,2524,efcg
FL,PA,900,efcg
FL,TX,947,efcg
FL,UT,1892,efcg
FL,WA,2543,efcg
GA,IL,573,efcg
GA,MA,923,efcg
GA,MD,564,efcg
GA,MI,660,efcg
GA,MN,890,efcg
GA,NC,305,efcg
GA,NV,1764,efcg
GA,NY,750,efcg
GA,OR,2212,efcg
GA,PA,619,efcg
GA,SC,269.5,tekfcg
GA,TN,261,tekfcg
GA,TX,788,efcg
GA,UT,1560,efcg
GA,WA,2200,efcg
IA,IL,296.5,tekfcg
IA,MN,231,tekfcg
IA,MO,332,tekfcg
IA,NE,372,tekfcg
IA,SD,446.5,tekfcg
IA,WI,375,tekfcg
ID,MT,482.5,tekfcg
ID,OR,596,tekfcg
ID,UT,301.5,tekfcg
ID,WA,620.5,tekfcg
ID,WY,868,tekfcg
IL,IN,191,tekfcg
IL,KY,408.5,tekfcg
IL,MA,866,efcg
IL,MD,618,efcg
IL,MI,242,efcg
IL,MN,339,efcg
IL,MO,338,tekfcg
IL,NC,567,efcg
IL,NV,1481,efcg
IL,NY,703,efcg
IL,OR,1768,efcg
IL,PA,593,efcg
IL,TX,854,efcg
IL,UT,1232,efcg
IL,WA,1725,efcg
IL,WI,239,tekfcg
IN,KY,182,tekfcg
IN,MI,299,tekfcg
IN,OH,271.5,tekfcg
KS,MO,249.5,tekfcg
KS,NE,338.5,tekfcg
KS,OK,277.5,tekfcg
KY,OH,268,tekfcg
KY,TN,243,tekfcg
KY,WV,395,tekfcg
LA,MS,200.5,tekfcg
LA,TX,517,tekfcg
MA,MD,356,efcg
MA,MI,656,efcg
MA,MN,1112,efcg
MA,NC,619,efcg
MA,NH,74.5,tekfcg
MA,NV,2350,efcg
MA,NY,251.5,tekfcg
MA,OR,2562,efcg
MA,PA,319,efcg
MA,TX,1620,efcg
MA,UT,2083,efcg
MA,VT,224,tekfcg
MA,WA,2485,efcg
MD,MI,467,efcg
MD,MN,911,efcg
MD,NC,268,efcg
MD,NV,2086,efcg
MD,NY,189,efcg
MD,OR,2370,efcg
MD,PA,98,tekfcg
MD,TX,1276,efcg
MD,UT,1842,efcg
MD,VA,131.5,tekfcg
MD,WA,2323,efcg
MD,WV,314,tekfcg
ME,NH,160.5,tekfcg
MI,MN,463,efcg
MI,NC,531,efcg
MI,NV,1701,efcg
MI,NY,505,efcg
MI,OH,256.5,tekfcg
MI,OR,1925,efcg
MI,PA,423,efcg
MI,TX,1090,efcg
MI,UT,1430,efcg
MI,WA,1867,efcg
MI,WI,408,tekfcg
MN,NC,906,efcg
MN,ND,381,tekfcg
MN,NV,1276,efcg
MN,NY,962,efcg
MN,OR,1463,efcg
MN,PA,879,efcg
MN,SD,322,tekfcg
MN,TX,939,efcg
MN,UT,986,efcg
MN,WA,1409,efcg
MN,WI,248,tekfcg
MO,OK,503.5,tekfcg
MO,TN,494,tekfcg
MS,TN,439,tekfcg
MT,ND,780.5,tekfcg
MT,WY,547,tekfcg
NC,NV,1956,efcg
NC,NY,458,efcg
NC,OR,2318,efcg
NC,PA,332,efcg
NC,SC,209.5,tekfcg
NC,TN,541,tekfcg
NC,TX,1068,efcg
NC,UT,1748,efcg
NC,VA,225.5,tekfcg
NC,WA,2295,efcg
ND,SD,373.5,tekfcg
NE,SD,392,tekfcg
NE,WY,541.5,tekfcg
NH,VT,101,tekfcg
NJ,NY,123,tekfcg
NJ,PA,162.5,tekfcg
NM,TX,799,tekfcg
NV,NY,2191,efcg
NV,OR,1170.5,tekfcg
NV,PA,2080,efcg
NV,TX,1083,efcg
NV,UT,413.5,tekfcg
NV,WA,862,efcg
NY,OR,2422,efcg
NY,PA,222,tekfcg
NY,TX,1440,efcg
NY,UT,1921,efcg
NY,VT,364.5,tekfcg
NY,WA,2356,efcg
OH,PA,408.5,tekfcg
OH,WV,348.5,tekfcg
OK,TX,375.5,tekfcg
OR,PA,2343,efcg
OR,TX,1682,efcg
OR,UT,649,efcg
OR,WA,219,tekfcg
PA,TX,1312,efcg
PA,UT,1831,efcg
PA,WA,2295,efcg
PA,WV,401,tekfcg
SD,WY,606.5,tekfcg
TN,VA,643.5,tekfcg
TX,UT,1030,efcg
TX,WA,1730,efcg
UT,WA,713,efcg
UT,WY,706,tekfcg
VA,WV,455.5,tekfcg
